"run_id","model","converged","iterations","loglik","theta0","theta01","theta1","theta10","pi","pi0","pi1","ssr","n_obs"
"20260505_232625","sym",TRUE,85,-27870.9431955512,0.043323762918519,0.26274513178176,0.0418721270401572,0.245710063833998,0.0113726084656135,NA,NA,0.00010856656999549,19093
"20260505_232625","nopi",TRUE,3,-27903.2501230061,0.0548891168525773,0.298726877687002,0.0525603805290615,0.289222012096635,0,NA,NA,0.000133462867728812,19093
"20260505_232625","asym",TRUE,85,-27870.9434971915,0.0433456128094475,0.262412159795542,0.0418504021155037,0.246037260905584,NA,0.0113965900067343,0.0113511631902076,0.000108564710640985,19093
"20260505_232625","sym",TRUE,85,-27870.9431955512,0.043323762918519,0.26274513178176,0.0418721270401572,0.245710063833998,0.0113726084656135,NA,NA,0.00010856656999549,19093
"20260505_232625","nopi",TRUE,3,-27903.2501230061,0.0548891168525773,0.298726877687002,0.0525603805290615,0.289222012096635,0,NA,NA,0.000133462867728812,19093
"20260505_232625","asym",TRUE,85,-27870.9434971915,0.0433456128094475,0.262412159795542,0.0418504021155037,0.246037260905584,NA,0.0113965900067343,0.0113511631902076,0.000108564710640985,19093
