"start","loglik","optimizer_code","evaluations","max_abs_score","elapsed_seconds"
"warm_start",-329474519.556966,0,209,1.39231853161507e-05,0
"perturbed_1",-329474468.816886,0,227,9.11950994680432e-06,0
"perturbed_2",-329474577.105781,0,170,1.23711855082819e-05,0
"perturbed_3",-329474585.167996,0,238,5.91209563687835e-06,0
"hessian_polished",-329474431.406458,0,2,1.38230080759859e-09,NA
