"quantity","estimate","std_error"
"entry_intercept",-1.66570364445005,0.00952474313981716
"entry_age",1.94764103741528,0.0472556493213845
"entry_age_sq",-1.83827698848145,0.0503628986525501
"entry_educ",0.0601493301429419,0.00710818435113843
"entry_race_2",0.168783550056435,0.0194372743624256
"entry_race_3",-0.369618806521734,0.0636155293828041
"entry_race_4",-0.175704825628211,0.0432092839078302
"entry_female",-0.311686832466342,0.012342498839543
"persistence_intercept",1.80254787313463,0.0116196120753765
"persistence_age",1.238561911646,0.0591213194005663
"persistence_age_sq",-0.880250246747831,0.0582617355169741
"persistence_educ",0.224596628774852,0.00541862129861031
"persistence_race_2",0.124938618182367,0.0209796906846009
"persistence_race_3",0.951115134122037,0.134697892084165
"persistence_race_4",0.871610682892314,0.0765436803847223
"persistence_female",-0.148484968614768,0.0137443641573621
"initial_employment",0.477251812379858,0.00095935442189817
"error_intercept",-3.30976508958398,0.0157732520582214
"age_inconsistency",2.21800697628627,0.0343959118196023
"education_inconsistency",1.19067132047467,0.0284454943669341
"race_inconsistency",0.29067712157647,0.0951205476105007
"gender_inconsistency",1.62903072591368,0.0452339037662226
"two_inconsistencies",0.19312108478236,0.0543429400965591
"three_inconsistencies",-0.481658328662454,0.107325096101876
"four_inconsistencies",-0.534967293860368,0.631488282082367
"mean_entry_rate",0.0336848482435629,0.000514910106195038
"mean_exit_rate",0.0316658451942017,0.000526634661790366
"mean_misclassification_rate",0.0291612373569472,0.00028234064583429
"min_misclassification_probability",0.0176188521752981,0.000268113805898492
"median_misclassification_probability",0.0176188521752981,0.000268113805898492
"max_misclassification_probability",0.407561912744701,0.0466124560789741
"mean_employment_rate",0.478234927041246,6.57771875561416e-05
"initial_employment",0.477251812379858,0.000959354421906876
"pi_base",0.0176188521752981,0.000268113805898492
"pi_age_mild",0.125643679393849,0.00293485818579244
"pi_age_severe",0.125643679393849,0.00293485818579244
"pi_education_mild",0.0536274061593977,0.00121063762647912
"pi_education_severe",0.0536274061593977,0.00121063762647912
"pi_race",0.0232854769539421,0.00209151802414373
"pi_gender",0.0784991257583225,0.00286231805650421
"pi_both_mild",0.286247044090892,0.00491155639558238
"pi_both_both_severe",0.286247044090892,0.00491155639558238
"pi_B_not_C",0.0176188521752981,0.000268113805898492
"pi_A_not_B",0.0176188521752981,0.000268113805898492
"pi_count_0",0.0176188521752981,0.000268113805898492
"pi_count_1",0.067854370825153,0.0010964864998091
"pi_count_2",0.285994505769385,0.0041034227354237
"pi_count_3",0.379253174388325,0.00739551183575341
"pi_count_4",0.407561912744701,0.0466124560789741
