"quantity","estimate","std_error"
"entry_intercept",-1.68665433548273,0.0098788128722351
"entry_age",1.93649094702395,0.0466352690514455
"entry_age_sq",-1.82768948267639,0.049613133805779
"entry_educ",0.0631855543726372,0.00700967516474252
"entry_race_2",0.165292507127226,0.0195231670722619
"entry_race_3",-0.362687813567396,0.0624018262847325
"entry_race_4",-0.170889213823614,0.0422451583431687
"entry_female",-0.306228649213303,0.0123185580116394
"entry_origin_age_inconsistency",0.36674076005917,0.0339934973421435
"entry_origin_education_inconsistency",0.198428301473353,0.0215037782937638
"entry_origin_race_inconsistency",0.119131548058021,0.082747177045671
"entry_origin_gender_inconsistency",-0.0118326685568564,0.0596148526804108
"persistence_intercept",1.84278529528551,0.0116800004328856
"persistence_age",1.2098025324803,0.0572762027771667
"persistence_age_sq",-0.862124191181368,0.0564549863624835
"persistence_educ",0.208356438229034,0.00538364149926424
"persistence_race_2",0.115302632434655,0.0205058088064381
"persistence_race_3",0.878422692583103,0.118182626182177
"persistence_race_4",0.802472638403557,0.0671975107461965
"persistence_female",-0.14025573999373,0.0134655887859826
"persistence_origin_age_inconsistency",-0.588035823942423,0.0294639434903258
"persistence_origin_education_inconsistency",-0.311924684752084,0.0212360052352863
"persistence_origin_race_inconsistency",0.248956801826999,0.163165324105804
"persistence_origin_gender_inconsistency",-0.307815755622008,0.0427175474331107
"initial_employment",0.478777510510842,0.000968369456076228
"error_intercept",-3.29624058477034,0.0154485296093102
"age_inconsistency",2.07623355516338,0.0378042998704141
"education_inconsistency",1.03710138613733,0.0319347212275726
"race_inconsistency",0.184362217534886,0.110462778767547
"gender_inconsistency",1.4595383203299,0.0503120673847972
"two_inconsistencies",0.414272992237522,0.0600615888653179
"three_inconsistencies",-0.0132124847447309,0.12085789575369
"four_inconsistencies",0.0102542810009214,0.681743581182026
"mean_entry_rate",0.0353749088939983,0.000530233896772309
"mean_exit_rate",0.0350616071225051,0.00054910364569885
"mean_misclassification_rate",0.0285198121949763,0.000286292406946855
"min_misclassification_probability",0.0178501923700666,0.000265914514956566
"median_misclassification_probability",0.0178501923700666,0.000265914514956566
"max_misclassification_probability",0.406623590145616,0.0507722868720611
"mean_employment_rate",0.479062128960506,7.92129676769448e-05
"initial_employment",0.478777510510842,0.000968369456047096
"pi_base",0.0178501923700666,0.000265914514956566
"pi_age_mild",0.113967606747666,0.00308981336041625
"pi_age_severe",0.113967606747666,0.00308981336041625
"pi_education_mild",0.047282023248948,0.00125649553243917
"pi_education_severe",0.047282023248948,0.00125649553243917
"pi_race",0.021309967212835,0.00224025077265089
"pi_gender",0.0687208884812489,0.00288911294035618
"pi_both_mild",0.278792592048701,0.0053862637158659
"pi_both_both_severe",0.278792592048701,0.0053862637158659
"pi_B_not_C",0.0178501923700666,0.000265914514956566
"pi_A_not_B",0.0178501923700666,0.000265914514956566
"pi_count_0",0.0178501923700666,0.000265914514956566
"pi_count_1",0.0604129711287564,0.00114413456727721
"pi_count_2",0.278144427928942,0.0044757106452263
"pi_count_3",0.381235575251218,0.00835608591642232
"pi_count_4",0.406623590145616,0.0507722868720611
