"quantity","estimate","std_error"
"entry_intercept",-1.77936539805617,0.00906720201626047
"entry_age",1.79018075754,0.0326293940664824
"entry_age_sq",-1.66572965603434,0.0327022329539222
"entry_educ",-0.0147284953311227,0.00379030571348893
"entry_race_2",0.24027260303585,0.0129087321780174
"entry_race_3",-0.207421910637824,0.0315153782555613
"entry_race_4",-0.12855741614271,0.0264492216849851
"entry_female",-0.206001584551481,0.00869901244847664
"entry_origin_age_inconsistency",0.478987367517925,0.0213818651421963
"entry_origin_education_inconsistency",0.235351182947437,0.0147448564821154
"entry_origin_race_inconsistency",0.148850584094687,0.0588724195869966
"entry_origin_gender_inconsistency",0.233708280021463,0.0291167842202621
"persistence_intercept",1.83020993412285,0.00892731157836256
"persistence_age",0.251363174647434,0.0362031968854718
"persistence_age_sq",-0.0395207706706177,0.035487039393988
"persistence_educ",0.230034000639183,0.0041922504386537
"persistence_race_2",-0.0176872678485928,0.0122959160474401
"persistence_race_3",0.330423165148961,0.0293946281597587
"persistence_race_4",0.443440556080716,0.0231497107067956
"persistence_female",-0.123962227895271,0.00872015668593257
"persistence_origin_age_inconsistency",-0.550158780585141,0.0224730861085489
"persistence_origin_education_inconsistency",-0.239450746412947,0.0150329361540985
"persistence_origin_race_inconsistency",-0.0211379917727059,0.0554482713710891
"persistence_origin_gender_inconsistency",-0.36701656224533,0.0306002717161304
"error_intercept",-3.32458701086464,0.0161166234999565
"age_inconsistency",2.01732490462421,0.0386144286270786
"education_inconsistency",1.00686614615962,0.032705170558403
"race_inconsistency",0.0312247532381402,0.107692328755399
"gender_inconsistency",1.34946777408462,0.0514316080902183
"two_inconsistencies",0.365293101561117,0.0601300245005635
"three_inconsistencies",-0.183178775254952,0.109900394005748
"four_inconsistencies",-0.365011498440401,0.499614364404359
"mean_entry_rate",0.0346958949443914,0.000452491236729796
"mean_exit_rate",0.0377759894883979,0.000485416364735061
"mean_misclassification_rate",0.0270751033930486,0.000291121683331817
"min_misclassification_probability",0.0173686373224287,0.000270199998952504
"median_misclassification_probability",0.0173686373224287,0.000270199998952504
"max_misclassification_probability",0.351945203396334,0.00830177701092688
"mean_employment_rate",0.478285484913103,3.51418442827353e-05
"initial_employment",0.479260714254321,0.000801756330968593
"pi_base",0.0173686373224287,0.000270199998952504
"pi_age_mild",0.106472676731463,0.00302232345503613
"pi_age_severe",0.106472676731463,0.00302232345503613
"pi_education_mild",0.0448329610020037,0.00123791910872497
"pi_education_severe",0.0448329610020037,0.00123791910872497
"pi_race",0.0178998030899946,0.00184217198597326
"pi_gender",0.0609200462225108,0.00266831747267696
"pi_both_mild",0.258109296765609,0.00529899815655272
"pi_both_both_severe",0.258109296765609,0.00529899815655272
"pi_B_not_C",0.0173686373224287,0.000270199998952504
"pi_A_not_B",0.0173686373224287,0.000270199998952504
"pi_count_0",0.0173686373224287,0.000270199998952504
"pi_count_1",0.0564558262109127,0.00111825204512589
"pi_count_2",0.254437533103768,0.00442204994235414
"pi_count_3",0.342132883864497,0.00832086537954868
"pi_count_4",0.335783956672029,0.0530073157923189
