"start","loglik","optimizer_code","evaluations","max_abs_score","elapsed_seconds"
"warm_start",-329147452.433367,0,197,1.14806429633722e-05,0
"perturbed_1",-329147512.9944,0,203,1.19091471364426e-05,0
"perturbed_2",-329147853.882626,0,203,1.18443620701004e-05,0
"perturbed_3",-329147765.47443,0,203,1.25368440645049e-05,0
"hessian_polished",-329147192.555914,0,7,4.59095700861417e-10,NA
