"indicator","unweighted_percent","survey_weighted_percent"
"Y_age_1",5.16636568791585,4.76706355849038
"Y_age_2",3.11658641973745,2.78408081373565
"Y_age_3",4.22138527897311,3.99625205029947
"Y_edu_1",10.4284704791767,9.88753418273498
"Y_edu_2",6.82584347922993,6.3510781987379
"Y_edu_3",8.83307203481053,8.40898034890295
"Y_race_1",0.673213060029431,0.6725026658823
"Y_race_2",0.59646981052269,0.612618715330195
"Y_race_3",0.643579528041679,0.651680897878345
"Y_gender_1",2.90965825192555,2.70528364372136
"Y_gender_2",1.67036874751471,1.59700076442486
"Y_gender_3",2.47174050143989,2.34404495215629
"Y_exactly_2_1",2.24733614809674,2.03909708627546
"Y_exactly_2_2",1.33300238334646,1.19193158682404
"Y_exactly_2_3",1.78510370469805,1.67212575556869
"Y_exactly_3_1",0.912307540340862,0.813113190150588
"Y_exactly_3_2",0.405498159934958,0.349089453167811
"Y_exactly_3_3",0.713484270166632,0.646841180400315
"Y_exactly_4_1",0.0197556879918343,0.0190829047568838
"Y_exactly_4_2",0.0119040684053361,0.0100761443367742
"Y_exactly_4_3",0.0172229074800607,0.015410012265486
"any_age",12.5043373866264,11.5473964225255
"any_education",26.0873859932172,24.6475927303758
"any_race",1.9132623985938,1.93680227909084
"any_gender",7.05176750088014,6.64632936030251
"any_inconsistency",33.6538144940898,32.1988467967728
