"comparison","model","rate","total_gap","composition_component","residual_component","share_explained"
"A--C","none","entry",0.0178262153580308,-0.000561562217907333,0.0183877775759382,-0.0315020438510716
"A--C","none","exit",0.0288421266535545,0.00106924975121656,0.027772876902338,0.0370725003762779
"A--C","symmetric","entry",0.00581595786578284,-0.00027557182421456,0.0060915296899974,-0.0473820186758638
"A--C","symmetric","exit",0.014026980104995,0.000881109538085088,0.01314587056691,0.0628153409707427
"B--C","none","entry",0.0106157293661398,-0.000454759093131113,0.011070488459271,-0.0428382334784854
"B--C","none","exit",0.0180842362378847,0.00099458612930374,0.0170896501085809,0.0549974085839568
"B--C","symmetric","entry",0.00359449531608674,-0.000206566088564883,0.00380106140465162,-0.0574673411425579
"B--C","symmetric","exit",0.00851257595325012,0.000790594153101572,0.00772198180014855,0.0928736680228646
