"panel","baseline_N","N","age","education","female","race_1","race_2","race_3","race_4","initial_employment"
"A",402923,394823,33.7281709973388,10.1866374751049,0.51445249963386,0.798702501992413,0.0953561185778249,0.0284867408207917,0.0774546386089703,0.479251263034109
"B",377132,369724,33.7908280794242,10.1832227036854,0.516516713445506,0.804253364300511,0.0928702887762708,0.0267563615980169,0.0761199853252014,0.479297882097795
"C",300200,300200,34.1084157916479,10.1088145276839,0.523220145390714,0.792014217372774,0.0979310485865033,0.0286416395817682,0.0814130944589548,0.48940920728884
