"model","rate","recent","numerator","denominator","probability"
"AR1","entry",FALSE,7946.896633937,311975.213040129,0.0254728462447265
"AR1","entry",TRUE,809.458108969951,13303.3159645189,0.0608463417037411
"AR1","exit",FALSE,11854.2812787688,296578.160828277,0.0399701759754071
"AR1","exit",TRUE,698.531714834295,11921.3101670748,0.0585952135331192
"AR2","entry",FALSE,8298.55366185816,310046.019553312,0.026765554590296
"AR2","entry",TRUE,2728.37696837887,14780.075893367,0.184598305723403
"AR2","exit",FALSE,11781.3021954105,295351.985992411,0.0398890231119462
"AR2","exit",TRUE,3983.62366216549,13599.9185609104,0.292915258596874
